t,x,y,z
0.0,0.1,0.0,0.0
0.008,0.09200128,0.0223996416,0.0
0.016,0.086434039829,0.0428284043218,1.64856621717e-05
0.024,0.0829461471405,0.0618466863121,4.5747375532e-05
0.032,0.0812584603474,0.0799315300624,8.58092768839e-05
0.04,0.0811523229093,0.0974936361597,0.000135937444613
0.048,0.0824594188005,0.11489144078,0.0001963295493
0.056,0.0850535654289,0.132442808725,0.000267929181989
0.064,0.0888440983103,0.150434794728,0.000352327623065
0.072,0.0937705656628,0.169131844816,0.00045172900867
0.08,0.0997985033707,0.188782743476,0.000568963830999
0.088,0.106916103581,0.209626558522,0.000707541905109
0.096,0.115131625282,0.23189779173,0.000871740310457
0.104,0.124471423991,0.255830907604,0.00106672502142
0.112,0.134978501279,0.281664383761,0.00129870742159
0.12,0.146711494298,0.309644402909,0.00157513895942
0.128,0.159744041446,0.340028287531,0.00190494906687
0.136,0.174164473494,0.37308776312,0.00229883328984
0.144,0.190075790446,0.409112123678,0.00276960049672
0.152,0.20759589344,0.448411363479,0.00333259014652
0.16,0.226858048605,0.491319331507,0.00400617301034
0.168,0.248011566133,0.538196959028,0.004812351546
0.176,0.271222683191,0.589435606187,0.00577747943137
0.184,0.296675643905,0.645460570091,0.00693312368067
0.192,0.324573973553,0.70673479425,0.00831709743206
0.2,0.35514194755,0.7737628174,0.00997469705626
0.208,0.388626258791,0.847094998311,0.0119601838726
0.216,0.425297889553,0.927332052149,0.014338558682
0.224,0.465454196523,1.01512993293,0.0171876867797
0.232,0.509421219587,1.11120509562,0.0206008423926
0.24,0.557556226835,1.2163401698,0.0246897549273
0.248,0.610250509838,1.33139007501,0.0295882554289
0.256,0.667932444466,1.45728860422,0.0354566406945
0.264,0.731070833487,1.59505549752,0.0424868951071
0.272,0.800178547606,1.74580402079,0.0509089370719
0.28,0.875816481454,1.91074905421,0.0609980886649
0.288,0.958597840138,2.09121568106,0.0730840045278
0.296,1.0491927699,2.28864824747,0.0875613400528
0.304,1.14833334308,2.50461983655,0.104902490431
0.312,1.25681890209,2.74084206287,0.125672792158
0.32,1.37552175946,2.99917504352,0.150548648075
0.328,1.50539323942,3.28163733429,0.18033911673
0.336,1.64747003108,3.59041553042,0.216011597407
0.344,1.80288080133,3.92787311267,0.258722343477
0.352,1.97285298633,4.29655796384,0.309852648029
0.36,2.15871964111,4.69920777679,0.371051664615
0.368,2.36192617372,5.13875230923,0.444286947934
0.376,2.58403672118,5.61831109684,0.53190391653
0.384,2.82673983252,6.14118479348,0.63669553916
0.392,3.09185300451,6.71083774189,0.761983608536
0.4,3.38132546049,7.33086866184,0.911712960175
0.408,3.69723836245,8.00496544401,1.09055987539
0.416,4.04180139006,8.73683892502,1.30405561115
0.424,4.41734429638,9.53012916189,1.55872543343
0.432,4.82630164198,10.3882761052,1.86224256714
0.44,5.27118840576,11.3143446919,2.22359493954
0.448,5.75456355625,12.310792291,2.6532602548
0.456,6.2789779353,13.3791642569,3.16338149659
0.464,6.84690195864,14.5197013305,3.76793004679
0.472,7.46062769656,15.7308411991,4.48283680696
0.48,8.12213891803,17.0085964176,5.32606257224
0.488,8.83294177134,18.3457932076,6.31756706127
0.496,9.59384812174,19.7311620366,7.47912132075
0.504,10.4047034773,21.148283613,8.83389110135
0.512,11.2640523703,22.5744159648,10.4057006515
0.52,12.1687366852,23.9792630334,12.2178702777
0.528,13.1134276184,25.3237960637,14.2915126013
0.536,14.0901008013,26.5593079847,16.6431807906
